draw,rc,term,estimate,raw_gap,N
10,0,pr_1,.2505810268328755,-.0924422621367338,10772
11,0,edu,-.0070412909968422,-.0439804884781683,11198
11,0,plants,-.0015799897133231,-.0439804884781683,11198
11,0,age,.005180053531769,-.0439804884781683,11198
11,0,gender,.0010253650448349,-.0439804884781683,11198
11,0,marriage,.002603271662739,-.0439804884781683,11198
11,0,ln_income,-.0000131548585184,-.0439804884781683,11198
11,0,health,-.0040812541888277,-.0439804884781683,11198
11,0,sportsArea,.0036989276652614,-.0439804884781683,11198
11,0,year14,-.0089690970447227,-.0439804884781683,11198
11,0,rice10,-.0317033984535152,-.0439804884781683,11198
11,0,ln_gdp_hist,.0007886347473861,-.0439804884781683,11198
11,0,urban2000_10,.0025071939783455,-.0439804884781683,11198
11,0,diff,-.0439804884781683,-.0439804884781683,11198
11,0,expl,-.0376096310559194,-.0439804884781683,11198
11,0,pr_0,.1722439701982574,-.0439804884781683,11198
11,0,pr_1,.2162244586764257,-.0439804884781683,11198
12,0,edu,-.0045527501585256,-.0882781746610293,16910
12,0,plants,-.038715001391795,-.0882781746610293,16910
12,0,age,.0014989999113974,-.0882781746610293,16910
12,0,gender,.0001477375591109,-.0882781746610293,16910
12,0,marriage,-.0005316764367224,-.0882781746610293,16910
12,0,ln_income,-.0000412167370998,-.0882781746610293,16910
12,0,health,.0001015940170399,-.0882781746610293,16910
12,0,sportsArea,.0039859231275005,-.0882781746610293,16910
12,0,year14,-.007676902602526,-.0882781746610293,16910
12,0,rice10,-.0281301461777459,-.0882781746610293,16910
12,0,ln_gdp_hist,.0102409281052096,-.0882781746610293,16910
12,0,urban2000_10,-.0151676880423398,-.0882781746610293,16910
12,0,diff,-.0882781746610293,-.0882781746610293,16910
12,0,expl,-.0790865778846689,-.0882781746610293,16910
12,0,pr_0,.131578947368421,-.0882781746610293,16910
12,0,pr_1,.2198571220294503,-.0882781746610293,16910
13,0,edu,-.0025679525164973,-.0216586700182407,16878
13,0,plants,-.0134223715603654,-.0216586700182407,16878
13,0,age,.0002619002079596,-.0216586700182407,16878
13,0,gender,-.0002810113641752,-.0216586700182407,16878
13,0,marriage,-.0001067435199771,-.0216586700182407,16878
13,0,ln_income,-.0000323671337365,-.0216586700182407,16878
13,0,health,-.0012382251317233,-.0216586700182407,16878
13,0,sportsArea,.007795702006807,-.0216586700182407,16878
13,0,year14,-.0010301943756392,-.0216586700182407,16878
13,0,rice10,-.0495701356276015,-.0216586700182407,16878
13,0,ln_gdp_hist,.0309595520621282,-.0216586700182407,16878
13,0,urban2000_10,.0086646850310697,-.0216586700182407,16878
13,0,diff,-.0216586700182407,-.0216586700182407,16878
13,0,expl,-.0204671821523691,-.0216586700182407,16878
13,0,pr_0,.1566571813688782,-.0216586700182407,16878
13,0,pr_1,.1783158513871189,-.0216586700182407,16878
14,0,edu,-.0108578141463152,-.0611198103491247,15301
14,0,plants,-.0061766342157538,-.0611198103491247,15301
14,0,age,.0009797022211653,-.0611198103491247,15301
14,0,gender,.000707074172966,-.0611198103491247,15301
14,0,marriage,.0005591643452163,-.0611198103491247,15301
14,0,ln_income,1.88564625526e-06,-.0611198103491247,15301
14,0,health,-.0011855762945238,-.0611198103491247,15301
14,0,sportsArea,.0057455026921156,-.0611198103491247,15301
14,0,year14,-.0082416299557094,-.0611198103491247,15301
14,0,rice10,-.0395822577860322,-.0611198103491247,15301
14,0,ln_gdp_hist,.0148838340140755,-.0611198103491247,15301
14,0,urban2000_10,-.0137174965325192,-.0611198103491247,15301
14,0,diff,-.0611198103491247,-.0611198103491247,15301
14,0,expl,-.0569109369862837,-.0611198103491247,15301
14,0,pr_0,.1536854103343465,-.0611198103491247,15301
14,0,pr_1,.2148052206834712,-.0611198103491247,15301
15,0,edu,-.0063389050770896,-.0660881957663604,17567
15,0,plants,-.0059768263860161,-.0660881957663604,17567
15,0,age,.0001372098059068,-.0660881957663604,17567
15,0,gender,.000498537656626,-.0660881957663604,17567
15,0,marriage,-.0006683437543172,-.0660881957663604,17567
15,0,ln_income,.0003676594257193,-.0660881957663604,17567
15,0,health,-.0004689604811895,-.0660881957663604,17567
15,0,sportsArea,.0104311449156371,-.0660881957663604,17567
15,0,year14,-.0041004000621717,-.0660881957663604,17567
15,0,rice10,-.0704823532963618,-.0660881957663604,17567
15,0,ln_gdp_hist,.033034549919512,-.0660881957663604,17567
15,0,urban2000_10,-.0247115149709162,-.0660881957663604,17567
15,0,diff,-.0660881957663604,-.0660881957663604,17567
15,0,expl,-.0682129711278587,-.0660881957663604,17567
15,0,pr_0,.1535847774379885,-.0660881957663604,17567
15,0,pr_1,.2196729732043489,-.0660881957663604,17567
16,0,edu,-.0092242250198548,-.0864362570638559,17536
16,0,plants,-.0825355137297378,-.0864362570638559,17536
16,0,age,.0017333810428568,-.0864362570638559,17536
16,0,gender,.0007229322060133,-.0864362570638559,17536
16,0,marriage,.0010216438958519,-.0864362570638559,17536
16,0,ln_income,-.0008346297895312,-.0864362570638559,17536
16,0,health,-.0005820691580336,-.0864362570638559,17536
16,0,sportsArea,.0060481477323587,-.0864362570638559,17536
16,0,year14,-.007067485147453,-.0864362570638559,17536
16,0,rice10,-.0074101348543343,-.0864362570638559,17536
16,0,ln_gdp_hist,.0090929777727958,-.0864362570638559,17536
16,0,urban2000_10,.007656976676379,-.0864362570638559,17536
16,0,diff,-.0864362570638559,-.0864362570638559,17536
16,0,expl,-.0813201987459612,-.0864362570638559,17536
